2021-08-20 03:04:23 - record_data - ERROR - Данные {'guid': '8F314C81-CB7E-4FC2-89CB-2E4C109FE980', 'status': 'ACTIVE', 'code': '58030159', 'name': 'Бюджет Константиновского района', 'parentcode': '58020464', 'budglevelcode': '3', 'budgtypecode': '05', 'okatocode': '', 'oktmocode': '60625000', 'foorgcode': '', 'foorgcodeubp': '10965', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:13:27.0', 'loaddate': '2021-07-24 22:18:46.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': 'BEFAC4C6-CE3A-4BB4-92DF-1C7913C4E2B0', 'status': 'ACTIVE', 'code': '58030160', 'name': 'Бюджет Почтовского сельского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60625425', 'foorgcode': '', 'foorgcodeubp': '11030', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:40:06.0', 'loaddate': '2021-07-24 22:20:39.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': '10BF8B10-9FCF-43D2-8017-63F2245F8DA7', 'status': 'ACTIVE', 'code': '58030161', 'name': 'Бюджет Авиловского сельского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60625405', 'foorgcode': '', 'foorgcodeubp': '11015', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:13:58.0', 'loaddate': '2021-07-24 22:18:49.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': '98E10BC6-BFF7-4F2A-8459-47BCA508EE61', 'status': 'ACTIVE', 'code': '58030162', 'name': 'Бюджет Константиновского городского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '13', 'okatocode': '', 'oktmocode': '60625101', 'foorgcode': '', 'foorgcodeubp': '11024', 'tofkcode': '5800', 'opendate': '2015-01-01 00:00:00.0', 'closedate': '', 'startdate': '2015-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:47:13.0', 'loaddate': '2021-07-24 22:21:12.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': '2477A5CA-14EC-4310-9644-C505FE1F950F', 'status': 'ACTIVE', 'code': '58030163', 'name': 'Бюджет Стычновского сельского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60625436', 'foorgcode': '', 'foorgcodeubp': '11033', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:50:38.0', 'loaddate': '2021-07-24 22:21:28.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': 'C102005A-F990-4D33-8B81-D9493C901498', 'status': 'ACTIVE', 'code': '58030164', 'name': 'Бюджет Зимовниковского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619417', 'foorgcode': '', 'foorgcodeubp': '14108', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:42:51.0', 'loaddate': '2021-07-24 22:20:51.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': '43E79BC1-C071-4BE8-9349-88525050DF23', 'status': 'ACTIVE', 'code': '58030165', 'name': 'Бюджет Николаевского сельского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60625420', 'foorgcode': '', 'foorgcodeubp': '11027', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 01:10:27.0', 'loaddate': '2021-07-24 22:23:05.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': 'FC3644BF-368F-41E3-98DB-5218C9E770A1', 'status': 'ACTIVE', 'code': '58030166', 'name': 'Бюджет Кировского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619425', 'foorgcode': '', 'foorgcodeubp': '14107', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:23:49.0', 'loaddate': '2021-07-24 22:19:34.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:24 - record_data - ERROR - Данные {'guid': 'CD90D896-6BE8-4B2C-B397-EA9DA52F030D', 'status': 'ACTIVE', 'code': '58030167', 'name': 'Бюджет Гапкинского сельского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60625415', 'foorgcode': '', 'foorgcodeubp': '11021', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:57:58.0', 'loaddate': '2021-07-24 22:22:13.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '7831EE7C-9755-4766-A72A-3DAE3C33463C', 'status': 'ACTIVE', 'code': '58030168', 'name': 'Бюджет Богоявленского сельского поселения Константиновского района', 'parentcode': '58030159', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60625410', 'foorgcode': '', 'foorgcodeubp': '11018', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 01:00:40.0', 'loaddate': '2021-07-24 22:22:25.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': 'E5354F8B-279D-4455-8E99-C78F9BE10225', 'status': 'ACTIVE', 'code': '58030169', 'name': 'Бюджет Верхнесеребряковского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619405', 'foorgcode': '', 'foorgcodeubp': '14113', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:49:33.0', 'loaddate': '2021-07-24 22:21:23.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '1B46E5BA-992D-4BBE-BEDF-25B086A8C019', 'status': 'ACTIVE', 'code': '58030170', 'name': 'Бюджет Савоськинского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619445', 'foorgcode': '', 'foorgcodeubp': '14109', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:50:34.0', 'loaddate': '2021-07-24 22:21:28.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '356148B0-79EE-4466-80B8-13A2AE68272E', 'status': 'ACTIVE', 'code': '58030171', 'name': 'Бюджет Кутейниковского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619430', 'foorgcode': '', 'foorgcodeubp': '14111', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:32:07.0', 'loaddate': '2021-07-24 22:20:07.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '4EB947A5-FE18-4E8A-8B0B-3D12149DDCFA', 'status': 'ACTIVE', 'code': '58030172', 'name': 'Бюджет Красносулинского района', 'parentcode': '58020464', 'budglevelcode': '3', 'budgtypecode': '05', 'okatocode': '', 'oktmocode': '60626000', 'foorgcode': '', 'foorgcodeubp': '14411', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 01:02:16.0', 'loaddate': '2021-07-24 22:22:31.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '743E6BE9-A513-44E8-B0FF-0894989FE8FC', 'status': 'ACTIVE', 'code': '58030173', 'name': 'Бюджет Ленинского сельского поселения Зимовниковского района', 'parentcode': '58030445', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60619432', 'foorgcode': '', 'foorgcodeubp': '14112', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:10:45.0', 'loaddate': '2021-07-24 22:18:32.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '5DFD2A35-ACBC-4414-8537-B0B9B3CA82BD', 'status': 'ACTIVE', 'code': '58030174', 'name': 'Бюджет Табунщиковского сельского поселения Красносулинского района', 'parentcode': '58030172', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60626455', 'foorgcode': '', 'foorgcodeubp': '14581', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:44:14.0', 'loaddate': '2021-07-24 22:20:56.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '39E991F2-7DC0-4188-B63A-F51F9ABC4753', 'status': 'ACTIVE', 'code': '58030175', 'name': 'Бюджет Комиссаровского сельского поселения Красносулинского района', 'parentcode': '58030172', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60626435', 'foorgcode': '', 'foorgcodeubp': '14566', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 01:07:30.0', 'loaddate': '2021-07-24 22:22:53.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': 'D32CAD77-FFF7-4B62-8212-E7033E11F60F', 'status': 'ACTIVE', 'code': '58030176', 'name': 'Бюджет Ковалевского сельского поселения Красносулинского района', 'parentcode': '58030172', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60626430', 'foorgcode': '', 'foorgcodeubp': '14601', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:29:26.0', 'loaddate': '2021-07-24 22:19:57.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:25 - record_data - ERROR - Данные {'guid': '11F58224-F9E1-4432-97C3-05C6AAC82D29', 'status': 'ACTIVE', 'code': '58030177', 'name': 'Бюджет Гуково-Гнилушевского сельского поселения Красносулинского района', 'parentcode': '58030172', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60626415', 'foorgcode': '', 'foorgcodeubp': '14551', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:35:47.0', 'loaddate': '2021-07-24 22:20:20.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:26 - record_data - ERROR - Данные {'guid': '2053CD18-D615-4D96-A718-F657794B60F9', 'status': 'ACTIVE', 'code': '58030178', 'name': 'Бюджет Усть-Донецкого района', 'parentcode': '58020464', 'budglevelcode': '3', 'budgtypecode': '05', 'okatocode': '', 'oktmocode': '60655000', 'foorgcode': '', 'foorgcodeubp': '12888', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:10:34.0', 'loaddate': '2021-07-24 22:18:31.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
2021-08-20 03:04:26 - record_data - ERROR - Данные {'guid': '83E6D669-AD49-4420-BF24-68E84CD45B66', 'status': 'ACTIVE', 'code': '58030179', 'name': 'Бюджет Долотинского сельского поселения Красносулинского района', 'parentcode': '58030172', 'budglevelcode': '3', 'budgtypecode': '10', 'okatocode': '', 'oktmocode': '60626420', 'foorgcode': '', 'foorgcodeubp': '14534', 'tofkcode': '5800', 'opendate': '2014-01-01 00:00:00.0', 'closedate': '', 'startdate': '2014-01-01 00:00:00.0', 'enddate': '', 'filedate': '2021-07-24 00:40:40.0', 'loaddate': '2021-07-24 22:20:41.0'}, полученные от внеш. api вызвали ошибку с кодом ответа от целевого сервера пользователя 500 при отправке post-запроса
